check,count,detail
released_weight_files_in_repo,0,NONE
nav_data_json_gz_in_repo,0,NONE
reverie_navrag_outside_conversion_and_readme,0,NONE
preexplore_or_lifelong_code,0,NONE
slam_or_depth_noise_injection_code,0,NONE
realworld_robot_code,0,NONE
vln_ablation_toggles,2,Dynam3D_VLN/vlnce_baselines/vlnce_baselines/models/graph_utils.py;Dynam3D_VLN/vlnce_baselines/models/graph_utils.py
checkpoint_paths_referenced,6,Dynam3D_VLN/convert_ckpt.py;Dynam3D_VLN/scripts/iter_train.yaml;Dynam3D_VLN/scripts/main.bash;Dynam3D_VLN/vlnce_baselines/models/Policy_Dynam3D_VLN.py;Dynam3D_VLN/vlnce_baselines/vlnce_baselines/models/Policy_Dynam3D_VLN.py;README.md
